zip,state
92126,CA
92113,CA
91950,CA
92105,CA
91764,CA
92570,CA
91911,CA
91950,CA
90044,CA
91207,CA
91406,CA
90033,CA
90001,CA
90006,CA
90012,CA
93535,CA
91606,CA
90063,CA
92392,CA
92113,CA
91786,CA
92392,CA
92346,CA
91950,CA
91763,CA
90001,CA
90813,CA
90033,CA
90061,CA
91732,CA
91405,CA
90503,CA
90047,CA
90011,CA
90003,CA
90813,CA
90813,CA
90038,CA
90023,CA
90011,CA
91744,CA
91402,CA
90038,CA
90017,CA
90255,CA
91344,CA
91780,CA
91335,CA
90640,CA
90016,CA
91766,CA
90650,CA
91402,CA
90221,CA
90029,CA
91744,CA
90042,CA
90006,CA
90044,CA
91101,CA
91411,CA
90028,CA
93543,CA
90022,CA
91401,CA
91702,CA
90650,CA
93535,CA
90250,CA
90065,CA
91321,CA
90037,CA
91601,CA
90006,CA
90262,CA
90732,CA
93550,CA
90011,CA
90220,CA
90022,CA
90026,CA
90706,CA
90660,CA
91706,CA
90011,CA
91342,CA
90813,CA
90061,CA
90746,CA
90221,CA
90001,CA
90044,CA
91321,CA
90062,CA
91702,CA
90303,CA
90230,CA
91405,CA
91304,CA
91311,CA
91722,CA
91325,CA
90805,CA
90033,CA
90008,CA
90304,CA
90066,CA
93543,CA
91405,CA
93550,CA
91754,CA
90723,CA
90059,CA
90020,CA
91790,CA
90262,CA
93550,CA
90032,CA
90011,CA
90011,CA
90002,CA
90044,CA
90640,CA
90015,CA
90059,CA
90037,CA
90011,CA
90016,CA
90059,CA
90037,CA
90003,CA
90701,CA
90019,CA
90706,CA
90001,CA
91316,CA
93535,CA
90057,CA
90004,CA
90037,CA
90201,CA
90805,CA
91351,CA
90037,CA
90037,CA
90002,CA
90723,CA
90003,CA
90011,CA
90660,CA
90023,CA
91607,CA
90042,CA
91304,CA
91605,CA
90221,CA
93510,CA
90221,CA
91733,CA
90059,CA
91766,CA
90059,CA
90037,CA
90029,CA
91732,CA
91405,CA
91001,CA
91406,CA
90247,CA
90606,CA
90270,CA
90022,CA
93535,CA
90813,CA
91402,CA
90022,CA
90023,CA
91402,CA
91367,CA
93550,CA
90241,CA
90006,CA
90011,CA
91411,CA
90262,CA
91770,CA
90020,CA
91601,CA
91733,CA
90031,CA
93535,CA
90004,CA
91321,CA
91406,CA
90040,CA
90018,CA
90501,CA
90011,CA
91401,CA
91356,CA
90004,CA
90222,CA
91402,CA
90255,CA
91390,CA
91203,CA
90011,CA
90706,CA
91345,CA
90004,CA
90016,CA
90022,CA
91335,CA
90001,CA
90220,CA
90004,CA
90022,CA
90062,CA
90221,CA
91702,CA
91343,CA
90606,CA
91706,CA
90038,CA
90255,CA
91387,CA
90007,CA
91103,CA
90230,CA
91016,CA
90278,CA
90032,CA
91941,CA
92004,CA
92071,CA
91352,CA
92020,CA
92069,CA
92131,CA
92054,CA
92054,CA
92114,CA
95832,CA
91786,CA
92503,CA
95828,CA
92083,CA
91977,CA
92113,CA
91786,CA
92504,CA
92376,CA
92108,CA
92102,CA
92503,CA
92117,CA
95828,CA
92083,CA
92139,CA
91910,CA
90220,CA
90250,CA
90005,CA
91776,CA
90255,CA
90026,CA
90650,CA
90044,CA
90745,CA
91303,CA
90022,CA
90015,CA
91342,CA
91733,CA
90001,CA
90804,CA
91351,CA
90270,CA
90805,CA
90701,CA
90023,CA
91402,CA
91776,CA
90002,CA
90023,CA
90019,CA
90011,CA
90047,CA
91335,CA
90023,CA
93535,CA
90003,CA
91342,CA
91352,CA
90044,CA
92028,CA
91950,CA
92105,CA
92545,CA
91950,CA
92113,CA
92392,CA
92254,CA
95821,CA
91914,CA
92154,CA
90220,CA
92009,CA
92881,CA
93312,CA
90057,CA
90014,CA
90280,CA
